Title,Price_EUR_per_month,Neighbourhood,Person,Number_of_rooms,Square_meters,Exterior_interior,Floor,Lift,Garage
"Alquiler de Piso en calle de Provença, 309",2500.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,63.0,exterior,2.0,1.0,
"Alquiler de Piso en calle de la Diputació, 212",1990.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,2.0,58.0,exterior,3.0,0.0,
Alquiler de Piso en La Dreta de l'Eixample,2750.0,"Eixample, Barcelona",Profesional,2.0,78.0,exterior,2.0,1.0,
Alquiler de Piso en La Dreta de l'Eixample,2500.0,"Eixample, Barcelona",Profesional,1.0,60.0,exterior,4.0,1.0,
Alquiler de Piso en calle de Pelayo,3300.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,110.0,exterior,5.0,1.0,
Alquiler de Piso en ronda de Sant Pau,1400.0,"Sant Antoni, Barcelona",Profesional,1.0,49.0,exterior,2.0,0.0,
Alquiler de Piso en La Dreta de l'Eixample,2700.0,"Eixample, Barcelona",Profesional,2.0,74.0,exterior,1.0,1.0,
Alquiler de Piso en calle del Rosselló,1700.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,87.0,exterior,3.0,1.0,
"Alquiler de Ático en calle de València, 80, 08015 Barcelona, Spain s/n",2370.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,1.0,50.0,exterior,5.0,1.0,
Alquiler de Piso en calle del Rosselló,2800.0,"La Dreta de l'Eixample, Barcelona",Profesional,4.0,89.0,exterior,3.0,1.0,
Alquiler de Piso en La Nova Esquerra de l'Eixample,1700.0,"Eixample, Barcelona",Profesional,2.0,100.0,,,1.0,
Alquiler de Piso en rambla de Catalunya,4900.0,"La Dreta de l'Eixample, Barcelona",Profesional,4.0,191.0,exterior,6.0,1.0,Garage optional
Alquiler de Piso en calle de Viladomat,2250.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,3.0,84.0,exterior,7.0,1.0,
Alquiler de Piso en La Dreta de l'Eixample,2800.0,"Eixample, Barcelona",Profesional,1.0,70.0,exterior,1.0,1.0,
"Alquiler de Piso en avenida de Roma, 97",2500.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,2.0,79.0,interior,4.0,1.0,
Alquiler de Piso en rambla de catalunya,5000.0,"La Dreta de l'Eixample, Barcelona",Profesional,4.0,130.0,exterior,2.0,1.0,
Alquiler de Piso en Viladomat,1750.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,3.0,84.0,exterior,6.0,1.0,
Alquiler de Piso en calle de Gravina,3350.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,95.0,exterior,5.0,1.0,
"Alquiler de Piso en calle d'Aragó, 258",3500.0,"La Dreta de l'Eixample, Barcelona",Profesional,1.0,40.0,exterior,5.0,1.0,
"Alquiler de Piso en calle de Còrsega, 60",1800.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,2.0,78.0,exterior,7.0,1.0,
Alquiler de Ático en calle d'Aribau,1900.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,1.0,42.0,exterior,7.0,1.0,
Alquiler de Piso en rambla de Catalunya,4600.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,105.0,exterior,2.0,1.0,
Alquiler de Piso en La Dreta de l'Eixample,6750.0,"Eixample, Barcelona",Profesional,2.0,105.0,exterior,2.0,1.0,Garage included
Alquiler de Piso en calle de Provença,1380.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,2.0,61.0,interior,2.0,1.0,
Alquiler de Ático en calle d'Aribau,1900.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,1.0,42.0,exterior,7.0,1.0,
"Alquiler de Piso en calle del Rosselló, 478",1490.0,"La Sagrada Família, Barcelona",Profesional,1.0,34.0,exterior,7.0,1.0,
"Alquiler de Piso en calle de Rocafort, 154",1450.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,1.0,44.0,interior,Entreplanta,1.0,
"Alquiler de Estudio en calle d'Aragó, 403",1390.0,"El Fort Pienc, Barcelona",Profesional,,41.0,exterior,5.0,1.0,
Alquiler de Piso en calle del Rosselló,2300.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,122.0,exterior,2.0,1.0,
"Alquiler de Piso en calle de la Diputació, 212",1990.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,2.0,58.0,exterior,2.0,0.0,
Alquiler de Dúplex en calle de Calàbria,2400.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,2.0,125.0,interior,Bajo,1.0,Garage optional
"Alquiler de Piso en calle del Bruc, 32",2000.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,112.0,exterior,5.0,1.0,
"Alquiler de Piso en calle de Lepant, 321",1550.0,"La Sagrada Família, Barcelona",Profesional,2.0,51.0,exterior,2.0,1.0,
"Alquiler de Piso en calle de Sepúlveda, 107",2250.0,"Sant Antoni, Barcelona",Profesional,2.0,61.0,exterior,1.0,0.0,
Alquiler de Piso en plaza de Catalunya,5000.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,132.0,interior,3.0,1.0,
Alquiler de Piso en calle del Consell de Cent,8300.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,82.0,exterior,1.0,0.0,
Alquiler de Piso en Gran Via de les Corts Catalanes,2599.0,"La Dreta de l'Eixample, Barcelona",Profesional,1.0,75.0,exterior,2.0,1.0,
"Alquiler de Piso en calle d'Aragó, 315",1495.0,"La Dreta de l'Eixample, Barcelona",Profesional,1.0,40.0,interior,1.0,0.0,
Alquiler de Piso en Gran Via de les Corts Catalanes,2550.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,100.0,exterior,5.0,1.0,
"Alquiler de Ático en calle de Sepúlveda, 107",1760.0,"Sant Antoni, Barcelona",Profesional,1.0,51.0,exterior,5.0,0.0,
"Alquiler de Piso en calle de la Diputació, 212",1990.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,2.0,64.0,exterior,Entreplanta,0.0,
"Alquiler de Piso en Gaudi, 31",1990.0,"La Sagrada Família, Barcelona",Profesional,3.0,90.0,exterior,5.0,1.0,
Alquiler de Piso en Gran Via de les Corts Catalanes,3650.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,140.0,exterior,5.0,1.0,
Alquiler de Piso en calle del Comte Borrell,2900.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,2.0,220.0,interior,Entreplanta,1.0,
"Alquiler de Piso en Mar, 11",1500.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,80.0,exterior,4.0,0.0,
Alquiler de Piso en calle de Sicília,1450.0,"La Sagrada Família, Barcelona",Profesional,2.0,59.0,exterior,3.0,1.0,
"Alquiler de Piso en calle de la Diputació, 212",1990.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,2.0,59.0,exterior,Entreplanta,0.0,
Alquiler de Piso en paseo de Gràcia,3300.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,120.0,exterior,2.0,1.0,
"Alquiler de Piso en avenida de Gaudí, 31",1990.0,"La Sagrada Família, Barcelona",Profesional,3.0,89.0,exterior,6.0,1.0,
"Alquiler de Ático en paseo de Sant Joan, 95",1650.0,"La Dreta de l'Eixample, Barcelona",Profesional,1.0,37.0,exterior,5.0,1.0,
"Alquiler de Piso en rambla de Catalunya, 73",6900.0,"La Dreta de l'Eixample, Barcelona",enrique,5.0,207.0,exterior,3.0,1.0,
"Alquiler de Piso en calle de Valencia, 347",1600.0,"La Dreta de l'Eixample, Barcelona",Profesional,1.0,44.0,exterior,4.0,1.0,
Alquiler de Piso en avenida de Roma,1800.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,3.0,75.0,exterior,6.0,1.0,
"Alquiler de Piso en calle de Sepúlveda, 106",2975.0,"Sant Antoni, Barcelona",Profesional,4.0,105.0,exterior,Entreplanta,1.0,
"Alquiler de Piso en calle de Viladomat, 13",1200.0,"Sant Antoni, Barcelona",Profesional,2.0,65.0,exterior,3.0,0.0,
"Alquiler de Piso en calle de Sepúlveda, 107",2200.0,"Sant Antoni, Barcelona",Profesional,2.0,61.0,exterior,2.0,0.0,
Alquiler de Piso en rambla de Catalunya,2750.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,85.0,exterior,1.0,1.0,
Alquiler de Piso en avenida Diagonal,3300.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,120.0,exterior,3.0,1.0,
"Alquiler de Piso en calle girona, 92",2540.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,85.0,exterior,3.0,0.0,
"Alquiler de Piso en calle de Sepúlveda, 106",2975.0,"Sant Antoni, Barcelona",Profesional,4.0,105.0,exterior,Entreplanta,1.0,
Alquiler de Piso en rambla de Catalunya,4200.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,260.0,interior,4.0,1.0,
Alquiler de Piso en calle de Girona,2195.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,82.0,exterior,4.0,1.0,
Alquiler de Piso en calle de Nàpols,2900.0,"La Sagrada Família, Barcelona",Profesional,3.0,112.0,exterior,8.0,1.0,Garage optional
Alquiler de Piso en calle de Sicília,1450.0,"La Sagrada Família, Barcelona",Profesional,2.0,65.0,exterior,4.0,1.0,
"Alquiler de Ático en Girona, 92",1920.0,"La Dreta de l'Eixample, Barcelona",Profesional,1.0,41.0,exterior,5.0,1.0,
Alquiler de Piso en avenida Diagonal,2295.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,84.0,exterior,2.0,1.0,
"Alquiler de Ático en paseo de Sant Joan, 95",1650.0,"La Dreta de l'Eixample, Barcelona",Profesional,1.0,37.0,exterior,5.0,1.0,
"Alquiler de Piso en calle de Girona, 92",2570.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,86.0,exterior,2.0,0.0,
Alquiler de Piso en calle del Consell de Cent,3900.0,"La Dreta de l'Eixample, Barcelona",Profesional,1.0,51.0,exterior,3.0,1.0,
Alquiler de Piso en calle del Consell de Cent,4550.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,60.0,exterior,3.0,1.0,
"Alquiler de Piso en calle de Provença, 309",2690.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,51.0,exterior,1.0,1.0,
Alquiler de Piso en Gran Via de les Corts Catalanes,2200.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,110.0,exterior,1.0,1.0,
Alquiler de Casa o chalet independiente en calle d'Alí Bei,6000.0,"La Dreta de l'Eixample, Barcelona",Profesional,4.0,217.0,,,,Garage included
Alquiler de Piso en calle de París,2200.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,2.0,120.0,exterior,3.0,1.0,
"Alquiler de Piso en Sepúlveda, 107",2130.0,"Sant Antoni, Barcelona",Profesional,2.0,61.0,exterior,3.0,0.0,
Alquiler de Piso en avenida de Josep Tarradellas,2200.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,3.0,120.0,exterior,1.0,1.0,
Alquiler de Piso en rambla de Catalunya,2675.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,80.0,exterior,2.0,1.0,
Alquiler de Ático en calle del Consell de Cent,5100.0,"La Dreta de l'Eixample, Barcelona",Profesional,1.0,73.0,exterior,1.0,1.0,
Alquiler de Ático en calle de Balmes,4000.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,80.0,exterior,6.0,1.0,
"Alquiler de Piso en calle de Provença, 309",2500.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,51.0,exterior,2.0,1.0,
"Alquiler de Piso en calle de Provença, 309",2500.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,51.0,exterior,2.0,1.0,
Alquiler de Piso en calle del Consell de Cent,5300.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,81.0,exterior,2.0,1.0,
Alquiler de Piso en rambla de Catalunya,2720.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,70.0,exterior,5.0,1.0,
Alquiler de Ático en Gran Via de les Corts Catalanes,2600.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,2.0,110.0,exterior,9.0,1.0,
Alquiler de Piso en avenida Diagonal,3300.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,120.0,exterior,3.0,1.0,
"Alquiler de Piso en calle de Sepúlveda, 107",1820.0,"Sant Antoni, Barcelona",Profesional,1.0,60.0,exterior,Entreplanta,0.0,
Alquiler de Ático en calle del Consell de Cent,5100.0,"La Dreta de l'Eixample, Barcelona",Profesional,1.0,73.0,exterior,1.0,1.0,
Alquiler de Piso en calle de Girona,2195.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,82.0,exterior,4.0,1.0,
Alquiler de Piso en rambla de Catalunya,2720.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,70.0,exterior,5.0,1.0,
Alquiler de Piso en calle del Consell de Cent,4900.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,81.0,exterior,2.0,1.0,
Alquiler de Piso en Passatge d'En Sagristà,1600.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,2.0,56.0,exterior,Bajo,1.0,
Alquiler de Piso en calle de Girona,1645.0,"La Dreta de l'Eixample, Barcelona",Profesional,1.0,62.0,exterior,1.0,0.0,
Alquiler de Piso en calle del Consell de Cent,2950.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,3.0,86.0,exterior,5.0,1.0,
"Alquiler de Piso en calle de Nàpols, 94",1575.0,"El Fort Pienc, Barcelona",Particular,1.0,84.0,exterior,2.0,1.0,
Alquiler de Piso en calle de Lepant,1950.0,"La Sagrada Família, Barcelona",Profesional,2.0,50.0,interior,1.0,0.0,
Alquiler de Piso en calle d'Enric Granados,2600.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,2.0,131.0,exterior,4.0,1.0,
Alquiler de Piso en calle d'Ausiàs Marc,3500.0,"El Fort Pienc, Barcelona",Profesional,2.0,179.0,exterior,Bajo,1.0,
"Alquiler de Piso en calle del Consell de Cent, 396",1616.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,84.0,exterior,6.0,1.0,Garage included
Alquiler de Piso en calle d'Ausiàs Marc,10000.0,"La Dreta de l'Eixample, Barcelona",Profesional,1.0,120.0,exterior,2.0,1.0,
Alquiler de Piso en calle de Bailèn,2500.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,80.0,interior,5.0,1.0,Garage optional
Alquiler de Piso en paseo de Gràcia,2300.0,"La Dreta de l'Eixample, Barcelona",Profesional,1.0,79.0,exterior,5.0,1.0,
Alquiler de Piso en calle de Viladomat,1250.0,"Sant Antoni, Barcelona",Profesional,1.0,44.0,exterior,,0.0,
Alquiler de Ático en calle de València,2190.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,1.0,50.0,,5.0,1.0,
Alquiler de Piso en Sant Antoni,1500.0,"Eixample, Barcelona",Profesional,2.0,70.0,exterior,1.0,1.0,
Alquiler de Piso en calle de Manso,1350.0,"Sant Antoni, Barcelona",Profesional,1.0,40.0,exterior,,1.0,
Alquiler de Piso en calle d'Aragó,1800.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,62.0,exterior,,1.0,
Alquiler de Piso en La Dreta de l'Eixample,4950.0,"Eixample, Barcelona",Profesional,2.0,84.0,exterior,2.0,1.0,Garage included
Alquiler de Piso en rambla de Catalunya,3900.0,"La Dreta de l'Eixample, Barcelona",Profesional,1.0,51.0,exterior,4.0,1.0,
Alquiler de Piso en rambla de Catalunya,3700.0,"La Dreta de l'Eixample, Barcelona",Profesional,1.0,47.0,exterior,4.0,1.0,
Alquiler de Estudio en calle dels Enamorats,1195.0,"La Sagrada Família, Barcelona",Profesional,,30.0,,1.0,1.0,
Alquiler de Piso en La Nova Esquerra de l'Eixample,1650.0,"Eixample, Barcelona",Profesional,1.0,60.0,exterior,,1.0,
Alquiler de Piso en calle de Padilla,1249.0,"La Sagrada Família, Barcelona",Profesional,3.0,70.0,exterior,5.0,1.0,
Alquiler de Piso en calle del Consell de Cent,4550.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,59.0,exterior,3.0,1.0,
Alquiler de Piso en calle de Mallorca,2800.0,"La Sagrada Família, Barcelona",Profesional,3.0,90.0,exterior,3.0,1.0,
Alquiler de Piso en rambla de Catalunya,3900.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,120.0,exterior,3.0,1.0,
Alquiler de Piso en Gran Via de les Corts Catalanes,2300.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,100.0,exterior,2.0,1.0,
Alquiler de Piso en ronda de Sant Antoni,2000.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,1.0,65.0,exterior,5.0,1.0,
"Alquiler de Piso en avenida de Gaudí, 85",2518.0,"La Sagrada Família, Barcelona",Profesional,2.0,57.0,exterior,Entreplanta,1.0,
Alquiler de Piso en calle del Comte Borrell,1600.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,2.0,75.0,exterior,3.0,1.0,
"Alquiler de Piso en calle de Villarroel, 173 ---b",2835.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,2.0,64.0,exterior,1.0,1.0,
"Alquiler de Piso en calle de Pau Claris, 76",2565.0,"La Dreta de l'Eixample, Barcelona",Profesional,1.0,51.0,interior,Entreplanta,1.0,
Alquiler de Piso en calle de Girona,2400.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,60.0,exterior,1.0,1.0,
Alquiler de Piso en Gran Via de les Corts Catalanes,1300.0,"Sant Antoni, Barcelona",Profesional,2.0,78.0,exterior,3.0,1.0,
Alquiler de Piso en ronda de Sant Antoni,1900.0,"La Dreta de l'Eixample, Barcelona",Profesional,1.0,65.0,exterior,4.0,1.0,
Alquiler de Ático en calle de València,1650.0,"La Dreta de l'Eixample, Barcelona",Profesional,,40.0,exterior,6.0,1.0,
Alquiler de Piso en paseo de Gràcia,4700.0,"La Dreta de l'Eixample, Barcelona",Profesional,5.0,228.0,exterior,2.0,1.0,
Alquiler de Piso en Gran Via de les Corts Catalanes,2600.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,100.0,exterior,3.0,1.0,
Alquiler de Piso en calle de Padilla,1850.0,"La Sagrada Família, Barcelona",Profesional,3.0,75.0,exterior,4.0,1.0,
Alquiler de Piso en calle del Consejo de Ciento,1750.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,120.0,exterior,2.0,1.0,
Alquiler de Piso en calle de Còrsega,2749.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,2.0,79.0,exterior,5.0,1.0,
"Alquiler de Piso en calle de Mallorca, 277",2750.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,90.0,exterior,5.0,1.0,
Alquiler de Piso en paseo de Sant Joan,6000.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,112.0,exterior,1.0,1.0,
Alquiler de Piso en calle de Padilla,1750.0,"El Fort Pienc, Barcelona",Profesional,2.0,65.0,exterior,1.0,1.0,
"Alquiler de Piso en calle d'Aragó, 61",1400.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,2.0,55.0,exterior,1.0,1.0,
Alquiler de Ático en calle d'Aragó,2855.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,2.0,90.0,exterior,6.0,1.0,
"Alquiler de Piso en avenida de Gaudí, 85",2295.0,"La Sagrada Família, Barcelona",Profesional,2.0,57.0,exterior,1.0,1.0,
Alquiler de Piso en calle de Pau Claris,16000.0,"La Dreta de l'Eixample, Barcelona",Profesional,4.0,217.0,exterior,1.0,1.0,Garage included
Alquiler de Piso en Gran Via de les Corts Catalanes,1900.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,65.0,exterior,7.0,1.0,
Alquiler de Piso en calle de Mallorca,2800.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,3.0,120.0,exterior,3.0,1.0,
Alquiler de Piso en calle de Roger de Flor,1900.0,"El Fort Pienc, Barcelona",Profesional,2.0,60.0,exterior,1.0,1.0,
Alquiler de Piso en calle de Pau Claris,4000.0,"La Dreta de l'Eixample, Barcelona",Profesional,5.0,180.0,exterior,3.0,1.0,
Alquiler de Piso en calle de Mallorca,2800.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,3.0,120.0,exterior,2.0,1.0,
Alquiler de Piso en Diputacio,1750.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,3.0,72.0,exterior,3.0,0.0,
Alquiler de Piso en calle de Calabria,1650.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,2.0,71.0,exterior,6.0,1.0,
Alquiler de Piso en rambla de Catalunya,3900.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,121.0,exterior,2.0,1.0,
Alquiler de Piso en avenida de Gaudí,3500.0,"La Sagrada Família, Barcelona",Profesional,2.0,75.0,exterior,1.0,1.0,
Alquiler de Piso en calle de Provença,2500.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,105.0,exterior,2.0,1.0,
Alquiler de Piso en calle de Pau Claris,16000.0,"La Dreta de l'Eixample, Barcelona",Profesional,4.0,217.0,exterior,1.0,1.0,Garage included
Alquiler de Piso en calle de Calabria,1650.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,2.0,71.0,exterior,6.0,1.0,
Alquiler de Piso en calle de Roger de Flor,1900.0,"El Fort Pienc, Barcelona",Profesional,2.0,60.0,exterior,Bajo,1.0,
Alquiler de Piso en Gran Via de les Corts Catalanes,1900.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,65.0,exterior,7.0,1.0,
Alquiler de Piso en calle de Bailèn,2650.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,90.0,exterior,1.0,1.0,
Alquiler de Piso en Diputacio,1750.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,3.0,72.0,exterior,3.0,0.0,
Alquiler de Piso en calle de Pau Claris,4000.0,"La Dreta de l'Eixample, Barcelona",Profesional,5.0,180.0,exterior,3.0,1.0,
Alquiler de Piso en calle d'Aribau,2795.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,3.0,106.0,exterior,4.0,1.0,
Alquiler de Piso en calle de Padilla,1900.0,"La Sagrada Família, Barcelona",Profesional,2.0,55.0,exterior,1.0,1.0,
Alquiler de Piso en calle de València,1500.0,"La Sagrada Família, Barcelona",Profesional,1.0,68.0,exterior,5.0,1.0,
Alquiler de Piso en avenida Roma,2295.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,3.0,115.0,exterior,3.0,1.0,
"Alquiler de Piso en calle del Rosselló, 170",4300.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,2.0,100.0,exterior,1.0,1.0,
Alquiler de Piso en calle del Rosselló,1700.0,"La Sagrada Família, Barcelona",Profesional,2.0,64.0,exterior,3.0,1.0,
Alquiler de Dúplex en calle de València,1950.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,3.0,90.0,interior,Bajo,1.0,
Alquiler de Piso en calle de Mallorca,2800.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,3.0,120.0,exterior,2.0,1.0,
Alquiler de Piso en calle de Roger de Flor,3000.0,"El Fort Pienc, Barcelona",Profesional,3.0,85.0,exterior,4.0,1.0,
Alquiler de Piso en calle de Viladomat,1375.0,"Sant Antoni, Barcelona",Profesional,1.0,57.0,exterior,2.0,1.0,
Alquiler de Piso en Gran Via de les Corts Catalanes,2500.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,2.0,90.0,exterior,2.0,1.0,
Alquiler de Piso en cartagena,1550.0,"La Sagrada Família, Barcelona",Profesional,2.0,50.0,exterior,1.0,1.0,
Alquiler de Piso en calle de Provença,2500.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,49.0,exterior,3.0,1.0,
"Alquiler de Piso en avenida del Paral·lel, 17",1600.0,"Sant Antoni, Barcelona",Natalia,2.0,76.0,interior,5.0,1.0,
Alquiler de Piso en paseo de Gràcia,3500.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,105.0,interior,2.0,1.0,
Alquiler de Piso en avenida de Vilanova,3850.0,"El Fort Pienc, Barcelona",Profesional,1.0,60.0,exterior,3.0,1.0,
Alquiler de Piso en calle del Comte d'Urgell,1990.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,2.0,78.0,exterior,2.0,1.0,
Alquiler de Ático en calle de Valencia,1100.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,1.0,44.0,exterior,5.0,0.0,
Alquiler de Piso en calle del Consell de Cent,1790.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,90.0,exterior,3.0,1.0,
Alquiler de Piso en La Dreta de l'Eixample,2300.0,"Eixample, Barcelona",Profesional,2.0,70.0,exterior,2.0,1.0,
Alquiler de Piso en calle de Pau Claris,4800.0,"La Dreta de l'Eixample, Barcelona",Profesional,6.0,170.0,exterior,4.0,1.0,
Alquiler de Piso en calle de Pau Claris,4800.0,"La Dreta de l'Eixample, Barcelona",Profesional,6.0,170.0,exterior,4.0,1.0,
Alquiler de Piso en calle de Còrsega,2100.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,91.0,exterior,4.0,1.0,
Alquiler de Piso en calle de Viladomat,3200.0,"Sant Antoni, Barcelona",Profesional,3.0,130.0,exterior,Entreplanta,,
Alquiler de Piso en calle del Comte d'Urgell,1990.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,2.0,78.0,exterior,2.0,1.0,
Alquiler de Piso en calle de Roger de Flor,1750.0,"El Fort Pienc, Barcelona",Profesional,2.0,40.0,exterior,Bajo,1.0,
Alquiler de Ático en calle de Valencia,1100.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,1.0,44.0,exterior,5.0,0.0,
Alquiler de Piso en paseo de Gràcia,3500.0,"La Dreta de l'Eixample, Barcelona",Profesional,3.0,105.0,interior,2.0,1.0,
Alquiler de Piso en calle del Consell de Cent,1790.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,90.0,exterior,3.0,1.0,
Alquiler de Piso en La Dreta de l'Eixample,2300.0,"Eixample, Barcelona",Profesional,2.0,70.0,exterior,2.0,1.0,
Alquiler de Piso en calle de Provença,2500.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,49.0,exterior,3.0,1.0,
"Alquiler de Piso en avenida del Paral·lel, 17",1600.0,"Sant Antoni, Barcelona",Natalia,2.0,76.0,interior,5.0,1.0,
Alquiler de Piso en rambla de Catalunya,1900.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,88.0,exterior,2.0,1.0,
"Alquiler de Piso en calle d'Ausiàs Marc, 9",2400.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,86.0,exterior,Entreplanta,1.0,
Alquiler de Piso en calle de Provença,2000.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,59.0,exterior,2.0,1.0,
Alquiler de Piso en La Dreta de l'Eixample,2100.0,"Eixample, Barcelona",Profesional,1.0,61.0,exterior,1.0,1.0,
Alquiler de Piso en Calabria / Provença,1800.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,4.0,100.0,interior,5.0,1.0,
Alquiler de Ático en calle d'Entença,2190.0,"La Nova Esquerra de l'Eixample, Barcelona",Profesional,1.0,53.0,exterior,4.0,1.0,
Alquiler de Ático en calle de Roger de Flor,2900.0,"La Dreta de l'Eixample, Barcelona",Profesional,2.0,78.0,exterior,7.0,1.0,
"Alquiler de Piso en calle de Provença, 224",1800.0,"L'Antiga Esquerra de l'Eixample, Barcelona",Profesional,2.0,50.0,exterior,4.0,1.0,
