Title,Price_EUR_per_month,Neighbourhood,Person,Number_of_rooms,Square_meters,Exterior_interior,Floor,Lift,Garage
Alquiler de Ático en calle Benavent,1700.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,3.0,111.0,exterior,7.0,1.0,
Alquiler de Piso en Gran Via de Carles III,3750.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,4.0,111.0,exterior,1.0,1.0,
Alquiler de Piso en travesía de les Corts,4350.0,"Les Corts, Barcelona",Profesional,3.0,120.0,exterior,12.0,1.0,
Alquiler de Piso en calle d'Agustina Saragossa,2700.0,"Les Corts, Barcelona",Profesional,3.0,156.0,exterior,5.0,1.0,Garage included
Alquiler de Piso en calle de Manila,2600.0,"Pedralbes, Barcelona",Profesional,3.0,93.0,exterior,8.0,1.0,
Alquiler de Piso en calle de Galileu,1750.0,"Les Corts, Barcelona",Profesional,2.0,46.0,exterior,Entreplanta,1.0,
"Alquiler de Piso en calle de Bordeus, 27",2565.0,"Les Corts, Barcelona",Profesional,1.0,90.0,interior,Bajo,1.0,
Alquiler de Chalet pareado en paseo dels Til·lers,7500.0,"Pedralbes, Barcelona",Profesional,4.0,360.0,,,,Garage included
"Alquiler de Piso en calle de Bordeus, 27",2295.0,"Les Corts, Barcelona",Profesional,2.0,65.0,exterior,2.0,1.0,
Alquiler de Ático en avenida de Madrid,2650.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,3.0,105.0,exterior,8.0,1.0,Garage optional
Alquiler de Ático en calle de Numància,3350.0,"Les Corts, Barcelona",Profesional,5.0,185.0,exterior,13.0,1.0,Garage included
"Alquiler de Estudio en calle de Joan Gamper, 22",1090.0,"Les Corts, Barcelona",Profesional,,30.0,exterior,1.0,1.0,
"Alquiler de Piso en calle de Joan Gamper, 22",1390.0,"Les Corts, Barcelona",Profesional,1.0,43.0,exterior,1.0,1.0,
"Alquiler de Piso en C/Plaza Comas, 14",1600.0,"Les Corts, Barcelona",Profesional,3.0,70.0,interior,6.0,1.0,
"Alquiler de Piso en calle del Capitán Arenas, 3",5500.0,"Pedralbes, Barcelona",Profesional,5.0,232.0,exterior,6.0,1.0,Garage included
"Alquiler de Piso en calle de l'Alfambra, 18",1990.0,"Pedralbes, Barcelona",Profesional,2.0,71.0,exterior,5.0,1.0,
Alquiler de Piso en calle de Beltrán i Rózpide,6200.0,"Pedralbes, Barcelona",Profesional,4.0,241.0,exterior,2.0,1.0,Garage included
"Alquiler de Ático en avenida de sant ramon nonat, 12",1200.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,,50.0,exterior,6.0,1.0,
Alquiler de Piso en travesía de les Corts,1600.0,"Les Corts, Barcelona",Profesional,2.0,63.0,exterior,1.0,1.0,
Alquiler de Ático en Pedralbes,4500.0,"Les Corts, Barcelona",Profesional,4.0,150.0,exterior,7.0,1.0,Garage included
"Alquiler de Piso en calle de Joan Güell, 145",1500.0,"Les Corts, Barcelona",Profesional,3.0,82.0,exterior,6.0,1.0,
Alquiler de Estudio en Pedralbes,1900.0,"Les Corts, Barcelona",Profesional,,27.0,interior,4.0,1.0,
Alquiler de Ático en Pedralbes,17000.0,"Les Corts, Barcelona",Profesional,5.0,600.0,exterior,,1.0,Garage included
"Alquiler de Piso en travesía de les Corts, 262",4390.0,"Les Corts, Barcelona",Profesional,3.0,120.0,exterior,12.0,1.0,Garage optional
Alquiler de Piso en calle de Rubió i Lluch,3900.0,"Pedralbes, Barcelona",Profesional,4.0,178.0,exterior,8.0,1.0,Garage included
Alquiler de Ático en calle de Déu i Mata,2000.0,"Les Corts, Barcelona",Profesional,2.0,69.0,exterior,8.0,1.0,
Alquiler de Ático en calle de Berlín,1347.0,"Les Corts, Barcelona",Profesional,3.0,65.0,exterior,1.0,1.0,
Alquiler de Dúplex en calle de Tòquio,10000.0,"Pedralbes, Barcelona",Profesional,3.0,374.0,exterior,1.0,1.0,Garage included
Alquiler de Ático en Pedralbes,8900.0,"Les Corts, Barcelona",Profesional,6.0,438.0,,5.0,1.0,Garage included
Alquiler de Piso en calle de Galileu,1600.0,"Les Corts, Barcelona",Profesional,2.0,76.0,exterior,5.0,0.0,
"Alquiler de Piso en avenida de Pedralbes, 16",1890.0,"Pedralbes, Barcelona",Particular,1.0,84.0,exterior,6.0,1.0,Garage optional
Alquiler de Piso en Pedralbes,11000.0,"Les Corts, Barcelona",Profesional,4.0,235.0,exterior,3.0,1.0,Garage included
"Alquiler de Estudio en calle de Joan Gamper, 22",1090.0,"Les Corts, Barcelona",Profesional,,30.0,exterior,1.0,1.0,
Alquiler de Ático en calle de dr. ferran,5150.0,"Pedralbes, Barcelona",Profesional,3.0,85.0,exterior,8.0,1.0,
Alquiler de Piso en calle de Numància,1850.0,"Les Corts, Barcelona",Profesional,1.0,60.0,exterior,5.0,1.0,
Alquiler de Piso en calle de Numància,1850.0,"Les Corts, Barcelona",Profesional,1.0,60.0,exterior,4.0,1.0,
Alquiler de Piso en calle de l'Equador,2900.0,"Les Corts, Barcelona",Profesional,2.0,90.0,exterior,4.0,1.0,
Alquiler de Piso en calle de l'Equador,2900.0,"Les Corts, Barcelona",Profesional,2.0,90.0,exterior,4.0,1.0,
Alquiler de Ático en calle de Numància,1800.0,"Les Corts, Barcelona",Profesional,2.0,93.0,exterior,7.0,1.0,
Alquiler de Chalet adosado en calle de l'Abadessa Olzet,16000.0,"Pedralbes, Barcelona",Profesional,5.0,511.0,,,,
Alquiler de Piso en calle de Galileu,2100.0,"Les Corts, Barcelona",Profesional,4.0,123.0,exterior,1.0,1.0,Garage included
"Alquiler de Piso en Passatge de Pere Rodríguez, 23",3150.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,4.0,145.0,exterior,1.0,1.0,
Alquiler de Ático en avenida de Pedralbes,17000.0,"Pedralbes, Barcelona",Profesional,5.0,546.0,exterior,7.0,1.0,Garage included
Alquiler de Piso en avenida Diagonal,4100.0,"Les Corts, Barcelona",Profesional,3.0,233.0,exterior,4.0,1.0,
Alquiler de Piso en calle d'Emèrita Augusta,1500.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,2.0,87.0,exterior,3.0,1.0,
Alquiler de Piso en calle de Bordeus,2430.0,"Les Corts, Barcelona",Profesional,2.0,61.0,exterior,2.0,1.0,
Alquiler de Piso en calle de Bordeus,2430.0,"Les Corts, Barcelona",Profesional,2.0,46.0,exterior,4.0,1.0,
Alquiler de Piso en calle de Déu i Mata,2450.0,"Les Corts, Barcelona",Profesional,2.0,80.0,exterior,1.0,0.0,
Alquiler de Piso en calle del Marquès de Mulhacen,3850.0,"Pedralbes, Barcelona",Profesional,4.0,177.0,exterior,4.0,1.0,Garage included
"Alquiler de Piso en calle de Osi 55, 08034, Barcelona",2350.0,"Pedralbes, Barcelona",Profesional,1.0,65.0,exterior,4.0,1.0,
Alquiler de Piso en calle de la Caravel·la la Niña,3300.0,"Les Corts, Barcelona",Profesional,3.0,160.0,exterior,2.0,1.0,Garage included
Alquiler de Piso en calle Gerard Piera,1750.0,"Les Corts, Barcelona",Profesional,1.0,52.0,exterior,Bajo,1.0,
Alquiler de Chalet adosado en Pedralbes,3200.0,"Les Corts, Barcelona",Profesional,5.0,332.0,,,,Garage included
